Benchmark,Input Size,Threads,cycles,instructions,ins_per_cycle,cache_references,cache_misses,cache_misses_percent,branches_instructions,branch_misses,bus_cycles,ref_cycles,alignment_faults,bpf_output,cpu_clock,cpu_migrations,dummy,emulation_faults,major_faults,minor_faults,page_faults,LLC_loads,LLC_load_misses,LLC_misses_percent,LLC_stores,LLC_store_misses,LLC_store_misses_percent,time,user_time,sys_time
blackscholes,simsmall,14,515533572,619802006,1.20,13076623,310817,2.377,170882955,3970266,37698652,864199831,0,0,587.15,24,0,0,0,70211,70211,3596546,55686,0.0154831885926108,2148594,37534,0.017469098396439717,0.015,0.027,0.020
blackscholes,simsmall,15,598809347,766291186,1.28,14818856,188377,1.271,199227217,3807075,32807599,714562919,0,0,572.27,6,0,0,0,69141,69141,3335421,53824,0.016137093338442134,1729761,21650,0.012516179980933783,0.014,0.044,0.003
blackscholes,simsmall,16,534788919,660276013,1.23,13394330,172997,1.292,156887738,3597999,34563997,822339068,0,0,567.05,6,0,0,0,69204,69204,3440662,32821,0.009539152639811758,2110969,13837,0.006554809663239962,0.014,0.047,0.000
blackscholes,simmedium,1,940533752,1256381368,1.34,16935592,294809,1.741,233568941,3881987,44556997,1037900765,0,0,708.01,18,0,0,0,69408,69408,3993485,67695,0.016951359526829322,2625448,75004,0.028568076762518244,0.179,0.170,0.008
blackscholes,simmedium,2,744520357,1131045931,1.52,13711491,336285,2.453,239019998,4602654,52487303,1195046257,0,0,715.78,25,0,0,0,70110,70110,4354215,127615,0.029308382796899096,2288529,33555,0.014662256847083869,0.111,0.180,0.000
blackscholes,simmedium,3,751110045,1235001917,1.64,15004356,101875,0.679,252471100,4793673,48160407,1076457185,0,0,699.93,9,0,0,0,69325,69325,3814278,61931,0.01623662459841679,2291232,12134,0.005295840840211729,0.087,0.170,0.008
blackscholes,simmedium,4,810494331,1153980454,1.42,13712715,229668,1.675,230066178,3967297,46043170,1043974136,0,0,704.68,8,0,0,0,70388,70388,4419041,41237,0.009331662684279237,2096388,18076,0.008622449661036029,0.076,0.178,0.000
blackscholes,simmedium,5,548330558,773017945,1.41,11391181,91738,0.805,202302525,3815306,45226319,1135686572,0,0,699.67,5,0,0,0,69622,69622,4019822,63764,0.015862393906993892,2411749,22529,0.009341353515643627,0.070,0.179,0.000
blackscholes,simmedium,6,532977009,772236082,1.45,11971203,140883,1.177,193707509,3922652,46528635,1105421024,0,0,708.04,9,0,0,0,69675,69675,3856825,113314,0.02938012484362137,2865413,34789,0.01214100724747183,0.065,0.167,0.012
blackscholes,simmedium,7,535828745,808419822,1.51,11350094,112552,0.992,197823570,3444183,48768620,1181609966,0,0,703.04,10,0,0,0,69372,69372,4409312,82827,0.018784563215304338,2833039,15252,0.005383618086443568,0.062,0.179,0.000
blackscholes,simmedium,8,625597591,909148723,1.45,13928774,170321,1.223,216696216,3777969,49899991,1129022932,0,0,710.87,14,0,0,0,69687,69687,4279604,115567,0.027004134027353934,2821909,32121,0.011382719995577462,0.059,0.173,0.007
blackscholes,simmedium,9,556428673,745740219,1.34,12329680,79545,0.645,188987815,3795384,40819519,1030497741,0,0,706.15,7,0,0,0,69671,69671,3565550,42665,0.01196589586459312,2978904,32402,0.010877154819356381,0.058,0.176,0.004
blackscholes,simmedium,10,580132461,820156814,1.41,12431878,162769,1.309,205590949,3483756,49159451,1141357722,0,0,706.44,6,0,0,0,69700,69700,4128859,88779,0.021502066309360527,3085214,9652,0.003128470180674663,0.056,0.179,0.000
blackscholes,simmedium,11,567643806,851477752,1.50,11478495,199638,1.739,220347662,3935265,50825951,1147951677,0,0,707.76,13,0,0,0,69340,69340,4801758,77930,0.016229472622318743,2026886,15429,0.00761216960401325,0.055,0.180,0.000
blackscholes,simmedium,12,534300468,783945928,1.47,12304102,238537,1.939,200000680,3612301,48194913,1127104964,0,0,707.97,12,0,0,0,69351,69351,3951861,90389,0.022872514999894986,2830978,14421,0.005093999317550331,0.054,0.171,0.009
blackscholes,simmedium,13,648380509,814307149,1.26,14600662,145158,0.994,189365055,3184098,31218213,854755203,0,0,706.81,13,0,0,0,70084,70084,2903874,62084,0.02137971551107245,2698523,51444,0.01906376191716728,0.053,0.180,0.000
blackscholes,simmedium,14,905306539,1431187933,1.58,13049058,223424,1.712,235591822,5029016,49103034,775713004,0,0,705.28,8,0,0,0,69701,69701,3472713,28089,0.008088488740647442,1656266,17502,0.010567143200427951,0.052,0.180,0.000
blackscholes,simmedium,15,596481754,842455343,1.41,13851369,123803,0.894,222297098,3611017,47409225,1110652191,0,0,703.31,7,0,0,0,69806,69806,4206078,83440,0.01983795830700239,2786354,10390,0.0037288872842431366,0.052,0.180,0.000
blackscholes,simmedium,16,534799569,784238222,1.47,11729612,135591,1.156,203466962,3502849,47762592,1146280233,0,0,702.61,8,0,0,0,69465,69465,3881345,72238,0.018611589539193243,2703797,11693,0.004324658988822016,0.051,0.180,0.000
blackscholes,simlarge,1,1958163969,3159181104,1.61,23773382,414559,1.744,501883282,6281142,98686345,2182201937,0,0,1236.67,6,0,0,0,70814,70814,4187605,70592,0.016857368352554743,3012989,46394,0.01539799846597515,0.707,0.703,0.004
blackscholes,simlarge,2,2050361421,3312666646,1.62,22435717,451357,2.012,510709507,6206095,100462130,2157201567,0,0,1240.12,13,0,0,0,70072,70072,4658013,78933,0.016945637549744923,2869662,63142,0.022003288192128552,0.434,0.705,0.000
blackscholes,simlarge,3,1808102590,3062037468,1.69,17591819,220929,1.256,459243198,6289261,102572773,2319646188,0,0,1237.76,10,0,0,0,70401,70401,5594466,206675,0.0369427573605774,2974033,24855,0.008357338334846991,0.344,0.703,0.004
blackscholes,simlarge,4,2088665901,3345507792,1.60,22245808,536283,2.411,519668053,6399219,100974453,2058641025,0,0,1240.76,1,0,0,0,70411,70411,4314566,74587,0.01728725438433437,2757914,55784,0.02022688162139936,0.301,0.706,0.004
blackscholes,simlarge,5,1825093577,3011271491,1.65,20288256,508334,2.506,485286687,6025439,102468063,2268153283,0,0,1237.95,7,0,0,0,70424,70424,4513924,84820,0.018790746144596145,3668805,62844,0.01712928324072825,0.272,0.704,0.004
blackscholes,simlarge,6,2083316374,3394325189,1.63,20721451,262496,1.267,416603565,5326829,89633679,2111605046,0,0,1241.06,7,0,0,0,70597,70597,4979916,190879,0.03832976299198621,2788130,55255,0.01981794249192111,0.254,0.697,0.012
blackscholes,simlarge,7,1887733249,3004093198,1.59,20226096,348078,1.721,469048701,5834113,96020484,2181334320,0,0,1273.32,10,0,0,0,70264,70264,4740652,68152,0.014376081602277492,3967613,64397,0.016230665642037165,0.251,0.727,0.016
blackscholes,simlarge,8,1880303604,3265504955,1.74,15183886,207193,1.365,474939892,6065929,100821069,2300378272,0,0,1237.35,9,0,0,0,70443,70443,5688249,167750,0.029490621806464522,3044603,36702,0.012054773643723007,0.230,0.703,0.004
blackscholes,simlarge,9,2024599840,3281805621,1.62,22266876,320361,1.439,494083599,6184046,87170929,2026157830,0,0,1244.34,8,0,0,0,70782,70782,4240204,111099,0.026201333709415867,1995162,34314,0.017198603421677037,0.225,0.702,0.012
blackscholes,simlarge,10,2063741833,3433888023,1.66,17983755,280442,1.559,479934424,5831200,85379519,2004657816,0,0,1249.29,14,0,0,0,71144,71144,4882959,188325,0.03856780284249776,2434354,27587,0.011332369901830218,0.219,0.698,0.016
blackscholes,simlarge,11,1849552342,3134181122,1.69,17177108,441346,2.569,501944311,6236520,103907272,2322569352,0,0,1242.78,16,0,0,0,70535,70535,4808346,41164,0.008560947985024372,2982685,62349,0.020903648893530493,0.213,0.710,0.000
blackscholes,simlarge,12,1577472856,2708426296,1.72,18816792,381000,2.025,465108477,5757690,99904255,2235595908,0,0,1242.31,15,0,0,0,71124,71124,4509303,75826,0.016815459063185597,3284004,31316,0.009535920175493087,0.208,0.696,0.012
blackscholes,simlarge,13,2151741042,3378178262,1.57,22299533,636232,2.853,516581889,6002069,86216455,1575657558,0,0,1239.65,14,0,0,0,69833,69833,2994048,64406,0.02151134517549485,3392608,96757,0.02851994689631104,0.205,0.689,0.021
blackscholes,simlarge,14,1613011124,2947120101,1.83,16704297,435584,2.608,496153350,6727382,102113067,2278056250,0,0,1239.11,10,0,0,0,70805,70805,5805216,59838,0.01030762679631559,1756693,18609,0.010593199836283288,0.201,0.701,0.008
blackscholes,simlarge,15,1925028601,3113564444,1.62,20318359,341944,1.683,348728697,4301633,82103579,1972079225,0,0,1242.59,12,0,0,0,70854,70854,4035516,100781,0.024973510202908375,3839519,87983,0.022915109939552324,0.199,0.698,0.013
blackscholes,simlarge,16,2131271266,3313155024,1.55,24263138,537193,2.214,558806716,5522257,72224028,1694875370,0,0,1250.02,9,0,0,0,70872,70872,3371896,49175,0.014583783129728793,2098652,39137,0.01864863731576269,0.201,0.704,0.012
bodytrack,simsmall,1,898634743,1472025933,1.64,17910861,324476,1.812,274799325,4875144,49088886,1125017733,0,0,741.26,3,0,0,0,71978,71978,4297400,35350,0.008225904034997907,2525565,14776,0.005850572050214506,0.210,0.202,0.008
bodytrack,simsmall,2,947699192,1485456530,1.57,17630963,174140,0.988,261963318,4544639,50697680,1157664508,0,0,742.10,14,0,0,0,71899,71899,4737192,114796,0.024232921106005414,2730744,29144,0.010672549312568296,0.121,0.196,0.016
bodytrack,simsmall,3,959340053,1588669870,1.66,16412014,205159,1.250,258100606,4216132,46595247,1131840847,0,0,746.56,10,0,0,0,72636,72636,4737723,126473,0.026694891195622877,2340504,21827,0.009325769150576115,0.092,0.210,0.004
bodytrack,simsmall,4,797400456,1176405270,1.48,15546102,192993,1.241,230274260,4868119,53757603,1278262443,0,0,789.68,14,0,0,0,72640,72640,4841787,121983,0.025193797248825693,2727244,29346,0.010760313341967202,0.087,0.251,0.004
bodytrack,simsmall,5,928690589,1563078408,1.68,17685895,219958,1.244,268797135,5662519,52197356,955853660,0,0,748.16,13,0,0,0,71292,71292,4013481,109043,0.027169183060789373,2008991,33011,0.016431631600141564,0.068,0.182,0.036
bodytrack,simsmall,6,956513500,1570162571,1.64,16834007,127589,0.758,251878181,5013725,52348339,870794188,0,0,748.09,7,0,0,0,72367,72367,4111280,101050,0.024578720009340155,2075384,20657,0.009953338755623056,0.062,0.203,0.016
bodytrack,simsmall,7,932267472,1363425829,1.46,19226752,317958,1.654,281425128,3895764,42143035,1041264794,0,0,749.36,17,0,0,0,72349,72349,4330279,29460,0.006803256787842077,2105350,15635,0.007426318664355096,0.058,0.209,0.013
bodytrack,simsmall,8,805662583,1584780970,1.97,15359933,140623,0.916,270287832,4799482,51572643,1154173392,0,0,750.78,16,0,0,0,71990,71990,5733193,136772,0.02385616531660455,1809991,15616,0.008627667209394963,0.055,0.223,0.000
bodytrack,simsmall,9,984835939,1509527257,1.53,18795517,276111,1.469,259700704,4364362,35584093,873569071,0,0,752.38,28,0,0,0,72025,72025,3877522,99676,0.025706108179399112,1661414,29627,0.01783240059371114,0.052,0.214,0.009
bodytrack,simsmall,10,1062686236,1662203197,1.56,17818613,188876,1.060,261087150,5858307,32791239,801731291,0,0,766.38,20,0,0,0,72629,72629,3859371,81278,0.021059908466949665,2140918,18296,0.008545866773038481,0.053,0.230,0.010
bodytrack,simsmall,11,640392127,1219263629,1.90,14886496,265918,1.786,257124053,3824880,54264932,1203217705,0,0,774.39,31,0,0,0,71741,71741,5199842,41138,0.007911394230824705,3598629,25891,0.00719468442009443,0.051,0.214,0.035
bodytrack,simsmall,12,709726361,1348725684,1.90,13924589,293135,2.105,272632658,4129711,52252652,1088270416,0,0,774.56,20,0,0,0,72435,72435,5054870,103811,0.020536828840306477,2251639,41109,0.018257367188967682,0.049,0.232,0.009
bodytrack,simsmall,13,660654845,798660127,1.21,15092677,189511,1.256,164032496,3796907,45329240,1180034991,0,0,777.90,24,0,0,0,72716,72716,4930071,121428,0.024630071250495177,3048886,33002,0.010824281393269542,0.048,0.241,0.005
bodytrack,simsmall,14,561224420,677863116,1.21,12926088,242676,1.877,202112097,3852033,48577542,1212389064,0,0,778.96,42,0,0,2,72261,72263,5093952,42358,0.0083153512243539,3020117,23018,0.007621559032315635,0.048,0.244,0.012
bodytrack,simsmall,15,1110128125,1716810862,1.55,16888835,138411,0.820,269446935,5888859,42240131,742708834,0,0,799.86,36,0,0,0,72056,72056,3900704,93571,0.023988233918800297,1647599,18998,0.011530718336197097,0.048,0.259,0.020
bodytrack,simsmall,16,571283875,745086505,1.30,14990187,271215,1.809,230693545,3819351,55861983,1271669404,0,0,819.54,21,0,0,1,72338,72339,4136978,33967,0.008210582700705684,4239275,15984,0.0037704560331660486,0.049,0.250,0.049
bodytrack,simmedium,1,1937183066,3725554528,1.92,23540041,482966,2.052,506013101,6923543,92861315,2010169093,0,0,1197.59,30,0,0,0,72450,72450,6286912,182190,0.0289792508627447,3726454,85852,0.02303852402310615,0.654,0.643,0.016
bodytrack,simmedium,2,1943718090,3506940213,1.80,28022866,605430,2.160,524636741,6366749,95035164,2080675897,0,0,1205.70,15,0,0,0,73467,73467,6857183,74254,0.010828644940641077,3573859,31538,0.008824634659621435,0.362,0.665,0.008
bodytrack,simmedium,3,1711678219,3261307379,1.91,22468062,403174,1.794,469860524,6699806,95994565,2219012862,0,0,1218.32,20,0,0,0,73882,73882,8374596,278308,0.033232409061881914,3047865,68118,0.02234941508236093,0.259,0.667,0.008
bodytrack,simmedium,4,1841935916,3313711146,1.80,24509775,450194,1.837,498024284,6396752,94383891,2163045071,0,0,1221.21,19,0,0,0,73570,73570,7328294,205426,0.028031899375216114,3693531,50062,0.01355396773439833,0.209,0.673,0.008
bodytrack,simmedium,5,1913053186,3512214845,1.84,27464507,526642,1.918,470050525,6194156,93451836,2090221180,0,0,1215.72,16,0,0,0,73569,73569,7690832,66979,0.008708940723188336,3565857,35748,0.010025079525062278,0.182,0.662,0.020
bodytrack,simmedium,6,1990698649,3429595999,1.72,25906698,669059,2.583,439339443,6579503,97038988,2248896784,0,0,1260.14,41,0,0,0,73210,73210,7763127,221698,0.02855782212502771,3980127,95122,0.023899237386143708,0.163,0.706,0.008
bodytrack,simmedium,7,1933381203,3569093475,1.85,24409092,504345,2.066,514263430,7819063,90405256,1882023533,0,0,1219.53,35,0,0,0,73211,73211,6605120,121175,0.018345616733685382,2380819,41440,0.017405775071519507,0.142,0.668,0.015
bodytrack,simmedium,8,1896905465,3474850617,1.83,23754476,183102,0.771,495229004,6402579,97533081,2029437077,0,0,1254.95,54,0,0,0,73522,73522,7733968,321086,0.0415163341767124,3182462,38254,0.01202025350184857,0.139,0.669,0.054
bodytrack,simmedium,9,2106985809,3814674837,1.81,27956598,545879,1.953,468752007,6087732,94272334,2155677292,0,0,1301.26,28,0,0,0,74240,74240,8416944,77542,0.009212607331116852,3241824,26490,0.008171325772157897,0.132,0.738,0.027
bodytrack,simmedium,10,1507836570,2809737269,1.86,22627444,459179,2.029,472092209,6016110,97334285,2250030874,0,0,1281.45,23,0,0,0,73360,73360,8947673,51322,0.005735792982153013,4562811,25918,0.005680270342120241,0.124,0.700,0.049
bodytrack,simmedium,11,1868164719,3645696793,1.95,21993864,399229,1.815,507707179,6315028,107549171,2371945521,0,0,1336.48,24,0,0,0,73611,73611,9461963,169865,0.01795240585912247,3268711,110590,0.03383290844617343,0.123,0.784,0.023
bodytrack,simmedium,12,2129686914,3826141774,1.80,26176363,582691,2.226,535030293,6548647,86630749,1584249255,0,0,1265.36,27,0,0,0,73640,73640,6036493,38919,0.00644728652878418,3360268,62968,0.01873898153361577,0.112,0.732,0.008
bodytrack,simmedium,13,1747063855,3062230639,1.75,25370040,291297,1.148,511734122,6432209,112467646,2457527906,0,0,1369.31,22,0,0,0,73996,73996,7780135,104338,0.013410821277522819,4735288,32778,0.006922071054601114,0.114,0.811,0.029
bodytrack,simmedium,14,2263466646,3972444416,1.76,27241749,762499,2.799,538011092,6538719,94533046,1715898747,0,0,1340.71,32,0,0,2,72545,72547,6011828,173200,0.028809872804078894,3760324,138996,0.03696383609497479,0.111,0.807,0.012
bodytrack,simmedium,15,1773322851,3142301007,1.77,22076188,592036,2.682,530928485,7144859,121291864,2714159747,0,0,1413.54,39,0,0,0,73941,73941,8254669,200991,0.024348765528938835,4026061,46780,0.011619297372791918,0.112,0.867,0.024
bodytrack,simmedium,16,1607478268,2992047572,1.86,20086255,135833,0.676,474804135,6768291,120920682,2714357709,0,0,1455.38,40,0,0,1,72942,72943,10019007,219825,0.0219407971269009,3840871,16153,0.004205556500075113,0.110,0.911,0.023
bodytrack,simlarge,1,5466773051,12009648059,2.20,35158290,763981,2.173,1434312907,11018887,261532293,5803639996,0,0,2847.59,22,0,0,0,76479,76479,14618807,413605,0.028292664374049127,4362992,110391,0.025301673713818407,2.288,2.274,0.028
bodytrack,simlarge,2,5496264272,11958253496,2.18,43776221,769418,1.758,1389441567,12382225,263388445,5842599482,0,0,2865.56,19,0,0,0,76588,76588,16544222,418464,0.025293664458806223,3839803,61735,0.016077647733490495,1.210,2.291,0.033
bodytrack,simlarge,3,5683302675,11928421620,2.10,51920366,692893,1.335,1387774574,12586275,257394891,5778275690,0,0,2891.02,24,0,0,0,75288,75288,19134079,410375,0.02144733488348198,4742986,85106,0.01794354864214231,0.852,2.317,0.032
bodytrack,simlarge,4,5489732089,12060285677,2.20,36963588,1904079,5.151,1399528551,13881757,268568314,5982623281,0,0,2917.13,19,0,0,0,75158,75158,15886532,694751,0.043732074438902084,5486188,307187,0.055992794997182016,0.671,2.336,0.033
bodytrack,simlarge,5,5318595798,11386746254,2.14,42113521,718139,1.705,1402162424,12459133,265918005,5938753203,0,0,2899.62,33,0,0,0,75271,75271,16277768,357097,0.02193771283630532,5732326,73969,0.012903836941583573,0.556,2.311,0.048
bodytrack,simlarge,6,5413131049,11871518361,2.19,43468032,1264034,2.908,1370582412,12294091,264585961,5892399813,0,0,2930.91,59,0,0,0,74596,74596,17736349,536421,0.03024416129835966,5244627,85527,0.016307546752133185,0.489,2.346,0.036
bodytrack,simlarge,7,5590023056,11294723019,2.02,57435424,897051,1.562,1412573420,12717820,272243904,6025201025,0,0,2989.80,28,0,0,0,75361,75361,24068931,209819,0.008717420811086292,5858541,65473,0.011175649363894527,0.442,2.435,0.016
bodytrack,simlarge,8,5466794008,11587668355,2.12,49046267,1212254,2.472,1370144450,12313799,260631040,5799674914,0,0,2940.20,13,0,0,0,74549,74549,19207150,249298,0.012979437344947064,4072016,148480,0.036463510948876426,0.396,2.367,0.037
bodytrack,simlarge,9,5675675642,10990490005,1.94,53340652,2433222,4.562,1374202890,11453268,280207496,6200944734,0,0,3109.94,35,0,0,0,74897,74897,19729236,460356,0.0233336962465247,4612554,290303,0.06293758295295838,0.385,2.521,0.056
bodytrack,simlarge,10,5401317648,10947926911,2.03,47125945,2016085,4.278,1392291326,11541866,275810062,6153965878,0,0,3035.13,52,0,0,0,75644,75644,18150043,691211,0.03808316046413774,4465700,257924,0.05775667868419285,0.349,2.457,0.042
bodytrack,simlarge,11,5342103807,10885264283,2.04,45297976,2297707,5.072,1375741531,12791519,274780813,6127675255,0,0,3025.86,38,0,0,0,74651,74651,17487935,579824,0.03315565845824564,4978759,247463,0.049703751477024695,0.327,2.415,0.080
bodytrack,simlarge,12,5897430759,11096344572,1.88,50909820,875809,1.720,1386853597,11351461,293546705,6382474398,0,0,3215.31,34,0,0,0,75336,75336,18466396,155448,0.008417885114128387,5280346,49910,0.009452032120622398,0.325,2.634,0.054
bodytrack,simlarge,13,5819007755,10752922482,1.85,51921017,514277,0.990,1342840913,13219381,302805583,6676013111,0,0,3316.70,61,0,0,2,75052,75054,19165598,288599,0.015058178722104054,4913816,49781,0.010130822969358234,0.316,2.740,0.046
bodytrack,simlarge,14,6883112520,12050408461,1.75,49505864,1164851,2.353,1368554521,13901436,313646554,7058951513,0,0,3548.25,59,0,0,3,75371,75374,19568442,546215,0.027913055111899045,4698023,211272,0.04497040563658373,0.319,2.971,0.055
bodytrack,simlarge,15,7221430929,12308881935,1.70,49744102,1329210,2.672,1432018257,14139087,332277345,7153054059,0,0,3707.52,61,0,0,1,75034,75035,19254538,422051,0.021919559949971273,5594433,173898,0.031084115226690533,0.317,3.129,0.060
bodytrack,simlarge,16,6759390053,11753212918,1.74,49148643,1553854,3.162,1414199989,14110751,315385239,6620311687,0,0,3534.21,104,0,0,0,75354,75354,18422749,607497,0.032975371916536454,4821406,223798,0.04641758026600539,0.295,2.845,0.162
canneal,simsmall,1,4465738438,5651594932,1.27,47970405,6553627,13.662,1056157536,14880068,211795319,4633244889,0,0,2348.42,22,0,0,0,78604,78604,18019679,3018711,0.16752301747439563,6713235,1000900,0.14909354431954192,1.810,1.769,0.040
canneal,simsmall,2,4031659635,5417954042,1.34,46785620,2050467,4.383,1043778747,14167127,192296729,4223321211,0,0,2167.30,9,0,0,0,78915,78915,17922083,1184433,0.06608790953596186,7061222,251086,0.035558434503263035,1.472,1.618,0.024
canneal,simsmall,3,4085413584,5540389036,1.36,46489316,2109080,4.537,1067972801,14448286,192371245,4278493733,0,0,2184.08,8,0,0,0,79527,79527,18050040,1238097,0.06859247957345246,7146168,216482,0.030293438385439582,1.424,1.623,0.028
canneal,simsmall,4,4653592827,5578819555,1.20,47172644,6417887,13.605,1033148687,13460096,209589002,4679905059,0,0,2399.92,12,0,0,0,79288,79288,18304445,2578778,0.140882610753836,8096893,1476935,0.18240762228178142,1.541,1.833,0.036
canneal,simsmall,5,4092144416,5316642438,1.30,47541453,3664782,7.709,1024083900,14907587,202900347,4525766291,0,0,2282.03,19,0,0,0,78539,78539,17833306,1244929,0.06980920980103185,6914581,1018051,0.1472324931908383,1.438,1.731,0.020
canneal,simsmall,6,3989603293,5220380114,1.31,41849005,4230619,10.109,1003582513,13887412,208393773,4682770364,0,0,2311.91,13,0,0,0,79544,79544,19619484,1567144,0.07987692234923202,6962674,865908,0.12436428877755874,1.431,1.737,0.043
canneal,simsmall,7,4425652250,5595655829,1.26,45934226,4174627,9.088,1064358703,15089954,198439820,4348542182,0,0,2320.55,10,0,0,5,79221,79226,18379324,1705354,0.09278654644751896,8182670,1523807,0.18622368982251514,1.439,1.727,0.066
canneal,simsmall,8,4281012733,5604194026,1.31,51168819,4334053,8.470,1098874222,14571726,208132072,4265507021,0,0,2331.97,11,0,0,0,79593,79593,16980513,1966707,0.11582141246262702,7022863,1060532,0.15101134679688327,1.447,1.759,0.044
canneal,simsmall,9,4569708394,5542692057,1.21,47456617,6721502,14.163,1077400441,13964205,204723739,4559222571,0,0,2401.15,14,0,0,7,78560,78567,17522413,2597699,0.14825007263554396,7261582,2036874,0.28050003429004866,1.488,1.838,0.028
canneal,simsmall,10,4144248131,5128606685,1.24,46485658,5876114,12.641,1011041199,13452136,212513906,4720344609,0,0,2390.69,12,0,0,8,79164,79172,18514620,2541390,0.13726395680818726,8535864,1350952,0.1582677512200288,1.471,1.829,0.032
canneal,simsmall,11,3934302479,4895359134,1.24,42406792,5492717,12.952,947277107,12124505,199498709,4540042020,0,0,2353.47,5,0,0,8,79277,79285,19024988,2043697,0.10742172347230916,6977867,1298249,0.1860524140113304,1.433,1.792,0.037
canneal,simsmall,12,3488850086,4623526714,1.33,37513921,3846229,10.253,904335533,12228688,197012292,4575196071,0,0,2317.83,15,0,0,10,78610,78620,19851017,1529463,0.07704708529542845,6312204,277792,0.044008717082020796,1.394,1.755,0.036
canneal,simsmall,13,3774084862,4850193759,1.29,43375831,4307346,9.930,994168750,14031077,208788622,4632225338,0,0,2310.06,13,0,0,11,79623,79634,18773764,1495389,0.07965312656534938,7432674,1357525,0.18264288195607664,1.379,1.752,0.027
canneal,simsmall,14,3706240429,4781967212,1.29,41135288,4292533,10.435,970234956,14064028,210952451,4683727459,0,0,2316.50,23,0,0,10,78921,78931,19797491,1505773,0.07605877936754712,6748306,1348615,0.1998449685002429,1.382,1.755,0.028
canneal,simsmall,15,3721939168,4812725285,1.29,42009669,5017387,11.943,987158499,13938281,211209179,4717741721,0,0,2325.03,11,0,0,12,79647,79659,19001537,1502054,0.0790490790297648,6308602,1409855,0.22348136718721517,1.385,1.755,0.038
canneal,simsmall,16,4331311553,5573537641,1.29,44819710,4529042,10.105,951512666,12445838,197863150,4567171032,0,0,2384.45,20,0,0,14,79639,79653,19104887,1866660,0.0977058906446293,7221541,508695,0.0704413365512984,1.421,1.828,0.027
